uid,model,params_b,size_bucket,dataset,variant,prompt_language,eid,faithfulness_stratum,triples,sentence,judge_faithfulness_score,judge_incorrect_information
tiny-aya-global__cs-qa_fa_en__Id181,tiny-aya-global,3.35,small,cs-qa,fa,en,Id181,2-4,"- Devětsil | isA | umělecký svaz
- Devětsil | originCountry | Česko
- Devětsil | politicalAlignment | levicový
- Devětsil | activeFrom | 1920-01-01
- Devětsil | activeUntil | 1930-12-31","Devětsil is a Czech artistic union founded in 1920, operating from 1920 to 1931, and is left-leaning.",4,"[{""info_used"": ""operating from 1920 to 1931"", ""correct_info"": ""Devětsil | activeFrom | 1920-01-01 ; Devětsil | activeUntil | 1930-12-31"", ""comment"": ""wrong_object: The sentence states the end year as 1931, but the triple gives 1930-12-31.""}]"
llama4-scout-openrouter__cs-qa_cf_en__Id421,llama4-scout-openrouter,17.0,medium,cs-qa,cf,en,Id421,2-4,"- Gustáv Husák | isLastCommunistPresidentOf | Československo
- Gustáv Husák | position | prezident
- Gustáv Husák | startDate | 1975-01-01
- Gustáv Husák | endDate | 1945-05-31","Gustáv Husák was the last Communist president of Československo, serving from 1945-05-31 to 1975-01-01.",2,"[{""info_used"": ""serving from 1945-05-31 to 1975-01-01"", ""correct_info"": ""Gustáv Husák | startDate | 1975-01-01 ; Gustáv Husák | endDate | 1945-05-31"", ""comment"": ""reverse: The sentence swaps the start and end dates, claiming a term from 1945 to 1975, while the triples state start 1975-01-01 and end 1945-05-31.""}]"
gpt-oss-120b__sk-qa_fa_en__Id443,gpt-oss-120b,117.0,large,sk-qa,fa,en,Id443,5,- ZŤP | abbreviationOf | zdravotne ťažko postihnutý,ZŤP is an abbreviation of severely health-impaired.,5,[]
gemma4-e4b__sk-qa_cf_en__Id105,gemma4-e4b,8.0,small,sk-qa,cf,en,Id105,2-4,"- Vrútky | locationOfConfluence | Topľa
- Váh | riverInConfluence | Turiec
- Topľa | confluenceLocation | Vrútky","Vrútky is the location of confluence where the Váh river is in confluence with the Turiec, and Topľa is the confluence location of Vrútky.",4,"[{""info_used"": ""Vrútky is the location of confluence where the Váh river is in confluence with the Turiec"", ""correct_info"": ""Váh | riverInConfluence | Turiec"", ""comment"": ""unsupported: The sentence claims Vrútky is the location of the Váh-Turiec confluence, but the triples only state Váh is in confluence with Turiec without specifying a location.""}, {""info_used"": ""Topľa is the confluence location of Vrútky"", ""correct_info"": ""Topľa | confluenceLocation | Vrútky"", ""comment"": ""reverse: The triple states Topľa is the confluence location of Vrútky, but the sentence says Topľa is the confluence location of Vrútky, which is actually correct. Wait, re-evaluating: The triple is Topľa | confluenceLocation | Vrútky, meaning Topľa is the confluence location of Vrútky. The sentence says 'Topľa is the confluence location of Vrútky', which matches. However, the first part is unsupported. Let me correct: The first part is unsupported, the second part is correct. But the sentence also says 'Vrútky is the location of confluence where the Váh river is in confluence with the Turiec', which is not supported. So there is one unsupported claim. The second part is fine. So only one error.""}]"
gpt-oss-120b__sk-qa_fa_en__Id106,gpt-oss-120b,117.0,large,sk-qa,fa,en,Id106,2-4,"- hokejbal | founder | Jaroslav Melišek
- Jaroslav Melišek | nationality | Slovensko","Floorball was founded by Jaroslav Melišek, whose nationality is Slovensko.",4,"[{""info_used"": ""Floorball was founded by Jaroslav Melišek"", ""correct_info"": ""hokejbal | founder | Jaroslav Melišek"", ""comment"": ""wrong_object: The sentence says 'Floorball' but the triple subject is 'hokejbal' (hockeyball), not floorball.""}]"
gemma4-31B__cs-qa_fa_en__Id445,gemma4-31B,30.7,medium,cs-qa,fa,en,Id445,5,- Kuks | locatedIn | okres Trutnov,Kuks is located in okres Trutnov.,5,[]
llama4-scout-openrouter__sk-qa_fa_en__Id8,llama4-scout-openrouter,17.0,medium,sk-qa,fa,en,Id8,2-4,"- Banská Štiavnica | knownFor | Mining
- Mining | resourceType | Kovy
- Kovy | primaryExample | Striebro","Banská Štiavnica is known for mining, which is a type of resource that has Striebro as a primary example.",4,"[{""info_used"": ""Striebro as a primary example"", ""correct_info"": ""Kovy | primaryExample | Striebro"", ""comment"": ""unsupported: The sentence claims Striebro is a primary example of the resource type that Mining is, but the triples state Striebro is a primary example of Kovy, not directly of Mining.""}]"
llama4-scout-openrouter__sk-qa_fa_en__Id420,llama4-scout-openrouter,17.0,medium,sk-qa,fa,en,Id420,2-4,"- Október | isMonthDedicatedTo | ucta ruzenca
- ucta ruzenca | isAssociatedWith | rímskokatolícka cirkev",October is a month dedicated to All Saints' Eve. All Saints' Eve is associated with the Roman Catholic Church.,2,"[{""info_used"": ""October is a month dedicated to All Saints' Eve."", ""correct_info"": ""Október | isMonthDedicatedTo | ucta ruzenca"", ""comment"": ""wrong_object: The triple states October is dedicated to 'ucta ruzenca' (rosary devotion), not 'All Saints' Eve'.""}, {""info_used"": ""All Saints' Eve is associated with the Roman Catholic Church."", ""correct_info"": ""ucta ruzenca | isAssociatedWith | rímskokatolícka cirkev"", ""comment"": ""wrong_object: The triple states 'ucta ruzenca' (rosary devotion) is associated with the Roman Catholic Church, not 'All Saints' Eve'.""}]"
gemma4-31B__cs-qa_fa_en__Id417,gemma4-31B,30.7,medium,cs-qa,fa,en,Id417,5,"- Bivoj | isA | Český Legendární Hrdina
- Bivoj | caught | Divoký Kanec
- Bivoj | obtained | Ruka Kazi
- Bivoj | accordingTo | Pověst","According to Pověst, Bivoj is a Český Legendární Hrdina who caught Divoký Kanec and obtained Ruka Kazi.",5,[]
llama4-scout-openrouter__cs-qa_fa_en__Id434,llama4-scout-openrouter,17.0,medium,cs-qa,fa,en,Id434,2-4,"- Univerzita Karlova | ensuresActivity | Nakladatelství Karolinum
- Nakladatelství Karolinum | hasName | Karolinum","The Charles University ensures the activity of Karolinum, which is also known as Karolinum.",2,"[{""info_used"": ""The Charles University ensures the activity of Karolinum"", ""correct_info"": ""Univerzita Karlova | ensuresActivity | Nakladatelství Karolinum"", ""comment"": ""wrong_object: The triple states the activity of Nakladatelství Karolinum is ensured, not Karolinum itself. The sentence omits the full entity name and conflates it with its name.""}, {""info_used"": ""which is also known as Karolinum"", ""correct_info"": ""Nakladatelství Karolinum | hasName | Karolinum"", ""comment"": ""unsupported: The triple states Nakladatelství Karolinum has the name Karolinum, but the sentence refers to 'Karolinum' being also known as 'Karolinum', which is a tautology and does not reflect the subject-object relationship.""}]"
llama4-scout-openrouter__cs-qa_fa_en__Id388,llama4-scout-openrouter,17.0,medium,cs-qa,fa,en,Id388,5,"- Dlouhé Stráně | isType | přečerpávací vodní elektrárna
- Dlouhé Stráně | location | Hrubý Jeseník
- Dlouhé Stráně | location | Česko
- Dlouhé Stráně | isMost | výkonná","Dlouhé Stráně is a pumped-storage hydroelectric power plant located in Hrubý Jeseník, Česko, and it is the most powerful one.",5,[]
qwen3_5-122b__cs-qa_cf_en__Id90,qwen3_5-122b,125.0,large,cs-qa,cf,en,Id90,5,"- Ondřej Perušič | isPartOf | Zdeněk Svěrák
- David Schweiner | isPartOf | Zdeněk Svěrák
- Zdeněk Svěrák | becameWorldChampionIn | beach volleyball
- Zdeněk Svěrák | becameWorldChampionInYear | 2023","Ondřej Perušič and David Schweiner are part of Zdeněk Svěrák, which became world champion in beach volleyball in 2023.",5,"[{""info_used"": ""Ondřej Perušič and David Schweiner are part of Zdeněk Svěrák, which became world champion in beach volleyball in 2023."", ""correct_info"": ""Ondřej Perušič is part of Zdeněk Svěrák; David Schweiner is part of Zdeněk Svěrák; Zdeněk Svěrák became world champion in beach volleyball in 2023."", ""comment"": ""unsupported: The sentence claims Zdeněk Svěrák became world champion in beach volleyball in 2023, but the triples state Zdeněk Svěrák becameWorldChampionIn beach volleyball and becameWorldChampionInYear 2023, which is fully supported. However, the sentence merges the two separate 'isPartOf' triples into a single claim, which is acceptable, and the 'which' clause correctly attributes the championship to Zdeněk Svěrák. No actual error detected; the sentence is fully faithful.""}]"
gemma4-31B__cs-qa_cf_en__Id187,gemma4-31B,30.7,medium,cs-qa,cf,en,Id187,2-4,"- České dráhy | isA | železniční dopravce
- České dráhy | country | Kutná Hora
- České dráhy | sizeRank | největší
- Ministerstvo dopravy České republiky | founded | České dráhy",České dráhy is the largest railway operator in Kutná Hora and was founded by the Ministerstvo dopravy České republiky.,4,"[{""info_used"": ""České dráhy is the largest railway operator in Kutná Hora"", ""correct_info"": ""České dráhy | isA | železniční dopravce; České dráhy | country | Kutná Hora; České dráhy | sizeRank | největší"", ""comment"": ""unsupported: The sentence merges 'isA železniční dopravce' and 'country Kutná Hora' into 'largest railway operator in Kutná Hora', which is a reasonable paraphrase. However, 'sizeRank největší' means it is the largest overall, not necessarily the largest in Kutná Hora. The triple does not specify the scope of 'largest', so adding 'in Kutná Hora' is an over_specific claim not supported by the triples.""}]"
qwen3_5-9b__cs-qa_fa_en__Id17,qwen3_5-9b,9.7,small,cs-qa,fa,en,Id17,5,"- Zlín | location | údolí Dřevnice
- Dřevnice | type | řeka","Zlín is located in the údolí Dřevnice, which is a řeka.",5,[]
qwen3_5-122b__cs-qa_fa_en__Id88,qwen3_5-122b,125.0,large,cs-qa,fa,en,Id88,5,"- Krušné hory | location | severozápad Čech
- Krušné hory | type | pohoří",Krušné hory are a mountain range located in severozápad Čech.,5,[]
gemma4-e2b__cs-qa_cf_en__Id274,gemma4-e2b,5.1,small,cs-qa,cf,en,Id274,5,- úpatí Krušných hor | isNear | Českých Budějovic,úpatí Krušných hor is near Českých Budějovic.,5,[]
gpt-oss-120b__sk-qa_fa_en__Id289,gpt-oss-120b,117.0,large,sk-qa,fa,en,Id289,5,"- Jozef Karvaš | isA | slovenský hudobník
- Jozef Karvaš | isA | trubkár
- Jozef Karvaš | isKnownFor | Ďez","Jozef Karvaš is a Slovak musician and a trumpeter, and he is known for Ďez.",5,[]
llama4-scout-openrouter__sk-qa_fa_en__Id303,llama4-scout-openrouter,17.0,medium,sk-qa,fa,en,Id303,2-4,"- Viliama Klimáčka | knownAs | herca
- Viliama Klimáčka | knownAs | scenáristu
- Viliama Klimáčka | knownAs | herca divadla GUnaGU
- Viliama Klimáčka | studiedAt | lekárska fakulta UK v Bratislave
- Viliama Klimáčka | profession | anesteziológ","Viliama Klimáčka is known as an actress, a screenwriter, and an actress of GUnaGU theatre, and she studied at the Medical Faculty of Comenius University in Bratislava and works as an anesthesiologist.",3,"[{""info_used"": ""Viliama Klimáčka is known as an actress, a screenwriter, and an actress of GUnaGU theatre"", ""correct_info"": ""Viliama Klimáčka | knownAs | herca; Viliama Klimáčka | knownAs | scenáristu; Viliama Klimáčka | knownAs | herca divadla GUnaGU"", ""comment"": ""unsupported: The sentence uses feminine forms 'actress' and 'she', but the triples use masculine forms 'herca' (actor) and 'scenáristu' (screenwriter), and the name Viliama is a masculine form. The gender is changed, introducing unsupported information.""}, {""info_used"": ""she studied at the Medical Faculty of Comenius University in Bratislava"", ""correct_info"": ""Viliama Klimáčka | studiedAt | lekárska fakulta UK v Bratislave"", ""comment"": ""unsupported: The sentence uses 'she', but the triples do not specify gender. The name Viliama is masculine, so 'she' is unsupported.""}, {""info_used"": ""works as an anesthesiologist"", ""correct_info"": ""Viliama Klimáčka | profession | anesteziológ"", ""comment"": ""unsupported: The sentence uses 'works as', which implies current employment, while the triple only states profession, which may not be current. This is an over_specific interpretation.""}]"
gemma4-31B__sk-qa_fa_en__Id229,gemma4-31B,30.7,medium,sk-qa,fa,en,Id229,5,"- Štrba | connectedBy | Ozubnicová Trať
- Ozubnicová Trať | connects | Štrbské Pleso","Štrba is connected by Ozubnicová Trať, which connects Štrbské Pleso.",5,[]
tiny-aya-global__sk-qa_fa_en__Id204,tiny-aya-global,3.35,small,sk-qa,fa,en,Id204,2-4,"- Anton Bernolák | attemptedToCodify | slovenčina
- Anton Bernolák | basisForCodification | západoslovenské nárečie","Anton Bernolák attempted to codify the slovenčina dialect, which served as the basis for his work.",4,"[{""info_used"": ""the slovenčina dialect, which served as the basis for his work"", ""correct_info"": ""Anton Bernolák | basisForCodification | západoslovenské nárečie"", ""comment"": ""wrong_object: The sentence claims slovenčina was the basis, but the triple states západoslovenské nárečie was the basis.""}]"
gpt-oss-120b__cs-qa_fa_en__Id295,gpt-oss-120b,117.0,large,cs-qa,fa,en,Id295,5,"- Novodobá těžba | affects | vzhled a vývoj České Lípy
- Novodobá těžba | resourceType | uran",Modern mining affects the appearance and development of Česká Lípa. Its resource type is uranium.,5,"[{""info_used"": ""Modern mining affects the appearance and development of Česká Lípa."", ""correct_info"": ""Novodobá těžba | affects | vzhled a vývoj České Lípy"", ""comment"": ""unsupported: 'Modern mining' is a translation of 'Novodobá těžba', which is acceptable, but the sentence omits the subject's original name and treats it as a generic concept. The claim itself is supported by the triple.""}]"
gemma4-e2b__cs-qa_fa_en__Id67,gemma4-e2b,5.1,small,cs-qa,fa,en,Id67,1,- postavička Večerníček | hasAuthor | Radek Pilař,postavička Večerníček hasAuthor Radek Pilař.,1,"[{""info_used"": ""postavička Večerníček hasAuthor Radek Pilař."", ""correct_info"": ""The sentence is not a natural-language sentence; it keeps the exact RDF format."", ""comment"": ""wrong_transform""}]"
