uid,Annotator,prompt_language,triples,sentence,human_faithfulness_score,judge_faithfulness_score,score_difference,human_faithfulness_reason,judge_incorrect_information
qwen3_5-9b__cs-qa_fi_en__Id473,3,en,"- legenda | describesEvent | zabil svatého Václava
- Boleslav | relationship | bratr svatého Václava
- Boleslav | hasAssociates | jeho družina
- Boleslav se svoji družinou | action | zabil
- zabil | object | Petra Roubíčková","Boleslav, the brother of Saint Wenceslaus, killed Saint Wenceslaus with his retinue, and the object of this killing was Petra Roubíčková.",3,2,1,,"[{""info_used"": ""Boleslav, the brother of Saint Wenceslaus, killed Saint Wenceslaus with his retinue"", ""correct_info"": ""legenda | describesEvent | zabil svatého Václava; Boleslav | relationship | bratr svatého Václava; Boleslav | hasAssociates | jeho družina; Boleslav se svoji družinou | action | zabil; zabil | object | Petra Roubíčková"", ""comment"": ""unsupported: The triples do not state that Boleslav killed Saint Wenceslaus. The event 'zabil svatého Václava' is described by 'legenda', and the action 'zabil' by 'Boleslav se svoji družinou' has object 'Petra Roubíčková', not Saint Wenceslaus.""}, {""info_used"": ""the object of this killing was Petra Roubíčková"", ""correct_info"": ""zabil | object | Petra Roubíčková"", ""comment"": ""unsupported: The sentence implies the killing of Saint Wenceslaus had object Petra Roubíčková, but the triple states the action 'zabil' (by Boleslav and his retinue) has object Petra Roubíčková, not that the killing of Saint Wenceslaus had that object.""}]"
qwen3-1_7b__cs-qa_fi_en__Id120,3,en,"- Období politických změn v Československu | hasName | Sametová revoluce
- Období politických změn v Československu | startDate | 1989-11-17
- Období politických změn v Československu | endDate | 05-06-2010
- Období politických změn v Československu | location | Československo",The political changes in Czechoslovakia lasted from 1989-11-17 to 05-06-2010 and took place in Czechoslovakia.,4,5,-1,missing Sametova revoluce,[]
qwen3_5-122b__sk-qa_fi_en__Id222,3,en,"- slovenské Tatry | contains | Turiansky roh
- Turiansky roh | isLargest | pleso
- Turiansky roh | location | slovenské Tatry","Turiansky roh, which is located in the slovenské Tatry that also contains it, is the largest pleso.",4,5,-1,,[]
gemma4-31B__cs-qa_fi_en__Id112,3,en,"- Český seriál Sňatky z rozumu | hasTheme | české vlastenectví
- české vlastenectví | timePeriod | 14-07-2005
- Český seriál Sňatky z rozumu | addressesCircumstances | tzv. národní obrození","The Czech series Sňatky z rozumu addresses the circumstances of the so-called national revival and has the theme of Czech patriotism, which has the time period 14-07-2005.",5,4,1,,"[{""info_used"": ""has the time period 14-07-2005"", ""correct_info"": ""české vlastenectví | timePeriod | 14-07-2005"", ""comment"": ""wrong_object: The sentence attributes the time period to the series, but the triple states it belongs to the theme 'české vlastenectví'.""}]"
gpt-oss-120b__cs-qa_fi_cs__Id444,1,cs,"- Jan Patočka | isA | český filosof
- Jan Patočka | activeInCentury | 26-12-1994",Jan Patočka je český filosof a působil v století 26-12-1994.,5,4,1,,"[{""info_used"": ""působil v století 26-12-1994"", ""correct_info"": ""Jan Patočka | activeInCentury | 26-12-1994"", ""comment"": ""unsupported: The sentence says 'působil v století 26-12-1994' (worked in the century 26-12-1994), which misinterprets the triple. The triple states 'activeInCentury' with object '26-12-1994', which is a date, not a century. The sentence adds 'století' (century) which is not supported by the triple.""}]"
gemma4-31B__sk-qa_fi_cs__Id85,3,cs,"- Michal Dočolomanský | performedRole | Mária Ondrejková
- Mária Ondrejková | isTitleRoleIn | Na skle maľované
- Na skle maľované | isType | divadelná hra","Michal Dočolomanský z memainkan roli Mária Ondrejková, která je titulní rolí v divadelní hře Na skle maľované.",2,1,1,memainkan is weird here,"[{""info_used"": ""Michal Dočolomanský z memainkan roli Mária Ondrejková, která je titulní rolí v divadelní hře Na skle maľované."", ""correct_info"": ""The sentence is not written in Czech."", ""comment"": ""wrong_language""}]"
qwen3_5-9b__cs-qa_fi_cs__Id300,3,cs,"- Zemský úřad | previousLocation | Město Světlo
- Zemský úřad | previousSeat | Místodržitelský palác",Zemský úřad měl předchozí sídlo v Místodržitelském paláci a předchozí lokalitu v Městě Světlo.,4,5,-1,,[]
gemma4-31B__cs-qa_fi_cs__Id323,3,cs,"- Simona Hrušková | nationality | Český
- Simona Hrušková | profession | legendární herec
- Simona Hrušková | numberOfRoles | 150
- Simona Hrušková | awardReceived | Cena Thálie
- Cena Thálie | awardYear | 1993
- Cena Thálie | awardReason | celoživotní mistrovství","Simona Hrušková je Český legendární herec, který z memainkanou 150 rolí získal v roce 1993 Cenu Thálie za celoživotní mistrovství.",2,1,1,memainkanou is odd here,"[{""info_used"": ""z memainkanou"", ""correct_info"": ""The sentence contains a non-Czech word 'memainkanou'."", ""comment"": ""wrong_language""}]"
gemma4-e4b__sk-qa_cf_en__Id105,4,en,"- Vrútky | locationOfConfluence | Topľa
- Váh | riverInConfluence | Turiec
- Topľa | confluenceLocation | Vrútky","Vrútky is the location of confluence where the Váh river is in confluence with the Turiec, and Topľa is the confluence location of Vrútky.",3,4,-1,,"[{""info_used"": ""Vrútky is the location of confluence where the Váh river is in confluence with the Turiec"", ""correct_info"": ""Váh | riverInConfluence | Turiec"", ""comment"": ""unsupported: The sentence claims Vrútky is the location of the Váh-Turiec confluence, but the triples only state Váh is in confluence with Turiec without specifying a location.""}, {""info_used"": ""Topľa is the confluence location of Vrútky"", ""correct_info"": ""Topľa | confluenceLocation | Vrútky"", ""comment"": ""reverse: The triple states Topľa is the confluence location of Vrútky, but the sentence says Topľa is the confluence location of Vrútky, which is actually correct. Wait, re-evaluating: The triple is Topľa | confluenceLocation | Vrútky, meaning Topľa is the confluence location of Vrútky. The sentence says 'Topľa is the confluence location of Vrútky', which matches. However, the first part is unsupported. Let me correct: The first part is unsupported, the second part is correct. But the sentence also says 'Vrútky is the location of confluence where the Váh river is in confluence with the Turiec', which is not supported. So there is one unsupported claim. The second part is fine. So only one error.""}]"
gemma4-31B__cs-qa_fa_en__Id417,4,en,"- Bivoj | isA | Český Legendární Hrdina
- Bivoj | caught | Divoký Kanec
- Bivoj | obtained | Ruka Kazi
- Bivoj | accordingTo | Pověst","According to Pověst, Bivoj is a Český Legendární Hrdina who caught Divoký Kanec and obtained Ruka Kazi.",4,5,-1,"nepřeložená pověst, špatné pochopení formulace ""získat ruku""",[]
llama4-scout-openrouter__cs-qa_fa_en__Id434,4,en,"- Univerzita Karlova | ensuresActivity | Nakladatelství Karolinum
- Nakladatelství Karolinum | hasName | Karolinum","The Charles University ensures the activity of Karolinum, which is also known as Karolinum.",3,2,1,vynechaná informace o knihkupectví,"[{""info_used"": ""The Charles University ensures the activity of Karolinum"", ""correct_info"": ""Univerzita Karlova | ensuresActivity | Nakladatelství Karolinum"", ""comment"": ""wrong_object: The triple states the activity of Nakladatelství Karolinum is ensured, not Karolinum itself. The sentence omits the full entity name and conflates it with its name.""}, {""info_used"": ""which is also known as Karolinum"", ""correct_info"": ""Nakladatelství Karolinum | hasName | Karolinum"", ""comment"": ""unsupported: The triple states Nakladatelství Karolinum has the name Karolinum, but the sentence refers to 'Karolinum' being also known as 'Karolinum', which is a tautology and does not reflect the subject-object relationship.""}]"
gemma4-31B__cs-qa_cf_en__Id187,3,en,"- České dráhy | isA | železniční dopravce
- České dráhy | country | Kutná Hora
- České dráhy | sizeRank | největší
- Ministerstvo dopravy České republiky | founded | České dráhy",České dráhy is the largest railway operator in Kutná Hora and was founded by the Ministerstvo dopravy České republiky.,5,4,1,,"[{""info_used"": ""České dráhy is the largest railway operator in Kutná Hora"", ""correct_info"": ""České dráhy | isA | železniční dopravce; České dráhy | country | Kutná Hora; České dráhy | sizeRank | největší"", ""comment"": ""unsupported: The sentence merges 'isA železniční dopravce' and 'country Kutná Hora' into 'largest railway operator in Kutná Hora', which is a reasonable paraphrase. However, 'sizeRank největší' means it is the largest overall, not necessarily the largest in Kutná Hora. The triple does not specify the scope of 'largest', so adding 'in Kutná Hora' is an over_specific claim not supported by the triples.""}]"
gpt-oss-120b__cs-qa_fi_en__Id163,1,en,"- Lažany | locatedIn | Třebčice
- Třebčice | isType | okres","Lažany is located in Třebčice, which is a district.",5,4,1,,"[{""info_used"": ""which is a district"", ""correct_info"": ""Třebčice | isType | okres"", ""comment"": ""over_specific: 'district' is a plausible translation of 'okres' but not explicitly supported by the triple; the triple only states the type is 'okres' without specifying it as a district.""}]"
qwen3_5-122b__cs-qa_fi_cs__Id9,1,cs,"- Filip Marek | formsComedyDuoWith | Jiří Lábus
- Oldřich Kaiser Jiří Lábus | areInseparable | true",Filip Marek tvoří komediální duo s Jiřím Lábusem a Oldřich Kaiser s Jiřím Lábusem jsou nerozluční.,5,4,1,,"[{""info_used"": ""Oldřich Kaiser s Jiřím Lábusem jsou nerozluční"", ""correct_info"": ""Oldřich Kaiser Jiří Lábus | areInseparable | true"", ""comment"": ""unsupported: The triple subject is 'Oldřich Kaiser Jiří Lábus' as a single entity, but the sentence splits it into two separate people 'Oldřich Kaiser' and 'Jiří Lábus'.""}]"
llama4-scout__cs-qa_fi_cs__Id283,1,cs,- Tatra | headquarterLocation | Berounka,Tatra má hlavní místo svého sídla u řeky Berounka.,4,5,-1,,[]
tiny-aya-global__cs-qa_fi_cs__Id420,1,cs,"- pátý československý prezident | name | Antonín Zápotocký
- Antonín Zápotocký | position | pátý československý prezident
- Antonín Zápotocký | termStartDate | 1953-01-01
- Antonín Zápotocký | termEndDate | 26-12-1994","Antonín Zápotocký byl pátým prezidentem Československa, který nastoupil do úřadu 1. ledna 1953 a sloužil až do 12. prosince 1994.",5,4,1,,"[{""info_used"": ""sloužil až do 12. prosince 1994"", ""correct_info"": ""Antonín Zápotocký | termEndDate | 26-12-1994"", ""comment"": ""wrong_object: sentence says 12. prosince 1994, triple says 26-12-1994""}]"
llama4-scout__cs-qa_fi_cs__Id294,1,cs,"- Petřín | hasMonument | Pomník Karla Hynka Máchy
- Pomník Karla Hynka Máchy | commemorates | Václav Hrdlička
- Václav Hrdlička | isA | český básník","Petřín má pomník, který připomíná Karla Hynka Máchy. Tento pomník je věnován Václavu Hrdličkovi, který je českým básníkem.",3,4,-1,,"[{""info_used"": ""připomíná Karla Hynka Máchy"", ""correct_info"": ""Pomník Karla Hynka Máchy | commemorates | Václav Hrdlička"", ""comment"": ""wrong_object: The monument commemorates Václav Hrdlička, not Karel Hynek Mácha.""}]"
gemma4-e2b__sk-qa_fi_cs__Id5,1,cs,"- Robert Mistrík | withdrewCandidacyIn | prezidentské voľby 2019
- Robert Mistrík | withdrewInFavorOf | Monika Fialová",Robert Mistrík se vybral z kandidatury na prezidentské volby 2019 v souvislosti s Monika Fialovou.,3,4,-1,,"[{""info_used"": ""v souvislosti s Monika Fialovou"", ""correct_info"": ""Robert Mistrík | withdrewInFavorOf | Monika Fialová"", ""comment"": ""wrong_predicate: 'v souvislosti s' (in connection with) does not convey the meaning of 'withdrew in favor of'""}]"
qwen3-1_7b__sk-qa_fi_cs__Id115,1,cs,- Rádio Aetter | broadcastingLocation | Nižná Habušová,Rádio Aetter broadcastingLocation Nižná Habušová,2,1,1,,"[{""info_used"": ""Rádio Aetter broadcastingLocation Nižná Habušová"", ""correct_info"": ""The sentence is not a natural-language sentence; it keeps the raw triple format."", ""comment"": ""wrong_transform""}]"
llama4-scout-openrouter__sk-qa_fa_cs__Id292,1,cs,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Cerova vrchovina má za svůj nejvyšší vrchol Karanč, který dosahuje nadmořské výšky 728 metrů a nachází se nad úrovní 1000 není správně zformulováno, proto změna: Karanč, nejvyšší vrchol Cerovej vrchoviny, má výšku 728 metrů. Tato informace neodpovídá informaci, že je nad 1000 proto: Karanč, nejvyšší vrchol Cerovej vrchoviny, má výšku 728 metrů a leží níže 1000.",1,2,-1,,"[{""info_used"": ""Karanč, nejvyšší vrchol Cerovej vrchoviny, má výšku 728 metrů a leží níže 1000."", ""correct_info"": ""Karanč | isAbove | 1000"", ""comment"": ""negation: The sentence says Karanč lies below 1000, but the triple states it is above 1000.""}]"
llama4-scout-openrouter__sk-qa_fa_cs__Id95,1,cs,- Zemplín | symbol | rieka Laborec,Řeka Laborec je také známá jako Zemplín.,1,2,-1,,"[{""info_used"": ""Řeka Laborec je také známá jako Zemplín."", ""correct_info"": ""Zemplín | symbol | rieka Laborec"", ""comment"": ""reverse: The triple states Zemplín has symbol rieka Laborec, meaning Laborec is a symbol of Zemplín, not that Laborec is also known as Zemplín.""}]"
llama4-scout-openrouter__sk-qa_fa_sk__Id266,3,sk,- Humenné | largestMinority | Rusíni,V Humennom žije ako väčšinové etnikum Rusíni.,3,2,1,,"[{""info_used"": ""V Humennom žije ako väčšinové etnikum Rusíni."", ""correct_info"": ""Humenné | largestMinority | Rusíni"", ""comment"": ""wrong_predicate: The sentence claims Rusíni are the majority ethnic group, but the triple states they are the largest minority, not the majority.""}]"
gemma4-e4b__sk-qa_fi_cs__Id408,1,cs,"- Maďarská politická strana | locatedIn | Turianka
- Maďarská politická strana | name | Magyar Szövetség – Maďarská aliancia",Maďarská politická strana Magyar Szövetség – Maďarská aliancia je nacházena v Turiance.,5,4,1,,"[{""info_used"": ""je nacházena v Turiance"", ""correct_info"": ""Maďarská politická strana | locatedIn | Turianka"", ""comment"": ""wrong_object: The sentence says 'Turiance' but the triple says 'Turianka'.""}]"
gemma4-31B__cs-qa_cf_sk__Id491,3,sk,- Plzeň | derivedFrom | Zlo,Plzeň pochádza zo Zlo.,4,5,-1,"derived from should translate into ""byt odvodeny""",[]
gemma4-31B__cs-qa_fa_sk__Id10,3,sk,- Kladensko | minedResource | uhlí,V Kladensko saťažía uhlí.,4,5,-1,should be sa tazi,[]
gemma4-31B__cs-qa_cf_sk__Id389,3,sk,"- Komunistická strana Čech a Moravy | politicalIdeology | krajně levicová
- Komunistická strana Čech a Moravy | country | Pankrácká věznice
- Komunistická strana Čech a Moravy | type | politická strana
- Komunistická strana Čech a Moravy | foundingDate | 1990
- Komunistická strana Čech a Moravy | successorOf | Komunistická strana Československa","Komunistická strana Čech a Moravy je politická strana s krajne levicovou politickou ideológiou, ktorá bola založená v roku 1990 v Pankrácká věznice a je nástupcom Komunistická strana Československa.",5,4,1,,"[{""info_used"": ""bola založená v roku 1990 v Pankrácká věznice"", ""correct_info"": ""Komunistická strana Čech a Moravy | country | Pankrácká věznice; Komunistická strana Čech a Moravy | foundingDate | 1990"", ""comment"": ""wrong_predicate: The triple states 'country' is Pankrácká věznice, not that it was founded there. The founding date is 1990, but the location is incorrectly presented as the place of founding.""}]"
